Request Path:/api/categories , Method:GET , Status Code:200
Request Path:/api/Authors , Method:GET , Status Code:200
Request Path:/api/Authors/10 , Method:GET , Status Code:404
Request Path:/api/Authors/1 , Method:GET , Status Code:404
Request Path:/api/Authors/10 , Method:PUT , Status Code:404
Request Path:/api/Authors , Method:POST , Status Code:200
Request Path:/api/Authors , Method:GET , Status Code:200
Request Path:/api/Authors/1 , Method:DELETE , Status Code:204
Request Path:/api/Authors/2 , Method:GET , Status Code:200
Request Path:/api/Authors/1 , Method:GET , Status Code:204
Request Path:/api/Authors/2 , Method:GET , Status Code:200
Request Path:/api/Authors/1 , Method:GET , Status Code:204
Request Path:/api/Authors , Method:GET , Status Code:200
Request Path:/api/Authors/2 , Method:GET , Status Code:200
Request Path:/api/Authors/1 , Method:GET , Status Code:204
Request Path:/api/Authors/100 , Method:GET , Status Code:404
Request Path:/api/Authors/1 , Method:GET , Status Code:204
Request Path:/api/Authors/1 , Method:GET , Status Code:404
Request Path:/api/Authors/2 , Method:GET , Status Code:200
Request Path:/api/Authors/10000 , Method:GET , Status Code:404
Request Path:/api/Authors/-5 , Method:GET , Status Code:404
Request Path:/api/Authors , Method:GET , Status Code:200
Request Path:/api/Authors/10 , Method:PUT , Status Code:404
Request Path:/api/Authors/2 , Method:PUT , Status Code:204
Request Path:/api/Authors/2 , Method:GET , Status Code:200
Request Path:/api/Authors/10 , Method:DELETE , Status Code:404
Request Path:/api/Authors/getwithbooks/2 , Method:GET , Status Code:200
Request Path:/api/Books , Method:GET , Status Code:200
Request Path:/api/Categories , Method:GET , Status Code:200
Request Path:/api/Categories , Method:POST , Status Code:200
Request Path:/api/Categories , Method:GET , Status Code:200
Request Path:/api/Categories/getwithbooks/1 , Method:GET , Status Code:200
Request Path:/api/Categories/1 , Method:GET , Status Code:200
Request Path:/api/Categories/100 , Method:GET , Status Code:404
Request Path:/api/Categories/100 , Method:PUT , Status Code:404
Request Path:/api/Categories/100 , Method:DELETE , Status Code:404
Request Path:/api/Categories , Method:GET , Status Code:200
Request Path:/api/Categories/getwithbooks/100 , Method:GET , Status Code:404
Request Path:/api/Categories/getwithbooks/1 , Method:GET , Status Code:200
Request Path:/api/Books , Method:GET , Status Code:200
Request Path:/api/Books , Method:POST , Status Code:200
Request Path:/api/Books , Method:GET , Status Code:200
Request Path:/api/Books/1000 , Method:DELETE , Status Code:404
Request Path:/api/Books/100 , Method:PUT , Status Code:404
Request Path:/api/Books/1 , Method:PUT , Status Code:204
Request Path:/api/Books/1 , Method:GET , Status Code:200
Request Path:/api/Books/10 , Method:GET , Status Code:404
Request Path:/api/Categories/getwithbooks/1 , Method:GET , Status Code:200
Request Path:/api/Authors/getwithbooks/2 , Method:GET , Status Code:200
Request Path:/api/Categories/1 , Method:DELETE , Status Code:204
Request Path:/api/Books , Method:GET , Status Code:200
Request Path:/api/Books/1 , Method:PUT , Status Code:204
Request Path:/api/authors , Method:GET , Status Code:200
